trial_id,steps,guidance,person_idx,garment_idx,person_path,garment_path,latency_ms,http_status,error
T3,30,1.5,1,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,19379.8,200,
T3,30,1.5,1,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,19496.5,200,
T3,30,1.5,2,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,19414.1,200,
T3,30,1.5,2,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,19424.8,200,
T3,30,1.5,2,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,19557.5,200,
T3,30,1.5,3,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,19353.6,200,
T3,30,1.5,3,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,19390.8,200,
T3,30,1.5,3,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,19484.4,200,
T4,34,1.65,1,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,21924.6,200,
T4,34,1.65,1,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,21959.7,200,
T4,34,1.65,1,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,21870.3,200,
T4,34,1.65,2,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,21497.0,200,
T4,34,1.65,2,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,21561.3,200,
T4,34,1.65,2,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,21652.5,200,
T4,34,1.65,3,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,21486.2,200,
T4,34,1.65,3,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,21515.3,200,
T4,34,1.65,3,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,21655.7,200,
T5,40,1.8,1,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,25298.5,200,
T5,40,1.8,1,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,25369.4,200,
T5,40,1.8,1,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,25366.5,200,
T5,40,1.8,2,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,25352.7,200,
T5,40,1.8,2,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,25295.0,200,
T5,40,1.8,2,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,25323.6,200,
T5,40,1.8,3,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,25330.0,200,
T5,40,1.8,3,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,25353.0,200,
T5,40,1.8,3,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,25441.5,200,
T6,46,2.0,1,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,29144.2,200,
T6,46,2.0,1,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,29047.2,200,
T6,46,2.0,1,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST2.jpg,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,29131.8,200,
T6,46,2.0,2,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,29098.9,200,
T6,46,2.0,2,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,29036.2,200,
T6,46,2.0,2,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\model.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,29173.6,200,
T6,46,2.0,3,1,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG3.webp,29098.1,200,
T6,46,2.0,3,2,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\codyIMG\TESTIMG2.jpg,29036.2,200,
T6,46,2.0,3,3,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\person.webp,C:\Users\kwakm\OneDrive\Desktop\Cusor-Project\AI-Fitting-Web-main\testIMG\myIMG\TEST3.jpg,29085.3,200,
